,uid,name,content,likeCount
0,1282549321,feiyu88,刘师培真是温文尔尔雅,1
1,1599369784,喜欢打乒乓球的公孙曼云,第一,0
2,2381733715,a年少无畏,才一集,0
3,962756148734681,用户36b9f22402ad9,片头也好听,1
4,1089186478,🍃┕樂樂┑🍃,第一第一,0
5,1503426361969280,金灿灿5483,先烈们永垂不朽。,2
6,2449354241,靠靠与静宝,最后那句太棒了,6
7,1532112159,喜欢游泳de梁丘清晖,那会不缺文化大家，,9
8,1693169257,束缚星轨,说得好啊！,261
9,2414863126,2414863126,说的没错,26
10,1207821547,Wwb190209,说话好冲,5
11,1000192560075538,用户38dab7a401312,说得好,8
12,1322556582,谈谈心说说爱,权利在军阀手里啊,3
13,2208874249,Mr.Fashion:1,看得我热血沸腾 泪流满面,10
14,1366152474,小起啦啦啦,演的是真好,6
15,1485998662,吴莘扬,说得对,4
16,1268326450,180****5021_m1425,问题角度问题,2
17,2445227420,宁缺毋滥_wx1242,经典,1
18,1003221457,远去的足迹👣,仲甫赞 有高度,3
19,2078859438,刘筠筠🔥,这两位演员演得真好，演技大赞！,43
20,1488815533,喜欢吃菠萝的司空睿德,说得还好了,1
21,1042620265,伊次  波娜  阿特,革命那有不牺牲不流血的！或许会牺牲一个北大！但能唤醒沉睡的民众值得了！,11
22,1355783604,因为有你而我幸福,说得好,8
23,1441877567,陈宥智,这段好扎心,124
24,1627211452,超爱打羽毛球de宰父风华,来了,2
25,1488815533,喜欢吃菠萝的司空睿德,说的太好了,7
26,2495315138,冰蓝色的回忆_qq1158,说得好！,1
27,1365146635076262,用户4d997f84002a6,说得对,2
28,1412000550,Sniper7G,说的对！！！！！,1
29,2507129800,萧如明,历史给出了答案，我们看到了,15
30,1016344049,Y石头大侠Y,说得好！,3
31,1816240161,用户6c41a021,致敬,1
32,1699213862,秋名山豆腐店V,呜呜，扎心了,7
33,1668048457,超爱健身de谷梁宏畅,哈哈哈哈   就是,0
34,1216413188,187****7203_m1460,说得好！,2
35,1581599167,小志dmu,君子和而不同,2
36,2410552068,芸_ap1957,然后新文化运动的中心就转移到了上海！哈哈哈,3
37,2390218020,颖颖Aurora,道不同不相为谋,10
38,2270373060,蓝龙_qq1032,五四运动是一次，彻底的，反帝反封建运动。彻底的！,25
39,869373694936716,道无界🌎,最后这句话出口，裂开了,369
40,2024801722,CForeve,凌晨两点🕑,3
41,2372971391,迷粉5love1,这段于和伟演技炸裂了，定一个,239
42,1438010067,爱吃香蕉的东郭凝冬,说的好,1
43,1111469575,136****9018_m1444,牛,0
44,2588168587,北原 祭,经典名句,174
45,1605347095,喜欢跨栏の上官文昌,两位教授都没错，目的一样，方法不同而已。,12
46,526767743841124,一个溏心涵,无语,1
47,1794343929,冯洪烈,胡适演的真心的不错！,155
48,2098477959,Twi-StoL,我呸！！！！,11
49,1607493542,带馅儿肥肠,站在上帝视角谁都可以说都是对的。但是在座的各位你们要明白，你是有立场的。,23
50,558985065276857,轩轩@铭铭,说的太对了。,323
51,2441922207,我一直都在777,蔡公出来劝劝啊,9
52,1278008222,起个名字好难哦！94,这话确实有点过了,32
53,1724042380,迷企,事实证明北大现在还在,1
54,450982341249267,用户19a2a824008f3,第一,1
55,2183293344,浮华而已D,这句话说的对,19
56,1511169384,我就是我不喜勿交,杨佳运，你说要看这个，我来了,0
57,1661169984,Gap6,你这是脱鞋！,2
58,2135101746,毛毛_qq5204,这句太狠了,423
59,1474586070,葡萄味的金智秀,说得好！,1
60,2456457373,一舟朝闻道夕死可矣,哈哈哈哈,0
61,1732178559,菡萏Leslie90,太扎心了……,211
62,1295285275,熵小宝,资本主义的软弱性,133
63,2274514003,艾美佳1993,最精彩的对白,65
64,2111931572,猫耳开关,泪目,1
65,2325925029,錓。。无情的,我站仲甫,6
66,1515183767,喜欢吃拉面de东方瑜然,陈先生永远都是一针见血！犀利精准！,20
67,1699256990,趴丕兰蓝,哇，这句话...,82
68,1526523320338624,用户56c5d684008c0,保留人吗？你可以走啊,4
69,1083798929,十方浮羽,这句话太狠了。。。虽然说得很对,352
70,1663076638,走走走走走走累,说得好呀,9
71,1477482275,糖人酱,说得对！！,9
72,1448762113,爱喝白酒的壤驷智刚,说的太对了,802
73,1709042964,链子王,我又站起来了！！！,3
74,1256549218,LX文武,说的太对了！,8
75,1245847514,开玩笑100,明明是吵架看的我热泪盈眶,9
76,1739954665,neverjiang,这句话太狠了,556
77,351959890536545,WT_Lrh,这话过了,53
78,1262236472,恋恋不忘121,这句话说的好,2121
79,1191381519303502,用户43b8e2040034e,演技得真好！,8
80,2333528048,霍九剑,不是，30集呢？,0
81,1207409363,夏目友人帐猫咪大人,好难啊,0
82,2127633053,爱奇艺21号,理性的自由主义。,1
83,2015812780,bbw42g,一针见血,2
84,2136381025,理论时间,这个时候需要勇士迎难而上,3
85,1127953006076219,耐凡William,👄公婆之辨理在后观。,3
86,2429601564,恍惚_wx1161,对对对,1
87,2101142139,开到荼蘼leslie,这句话有点重对于他们俩的关系来说,158
88,1831395823,开心追剧啦啦啦啦啦～,精彩,0
89,1812074032,用户6c020e30,陈先生说的太好了，太对了，面对奴役压迫和不公正，就是要勇敢抗争，,42
90,2145545404,胡哲_qq1056,覆巢之下 复有完卵乎,255
91,1245585726,阳阳的菜女,说的太对了！！！！,171
92,1668604457,超爱喝饮料的龙猫,说的太正确,14
93,2278923388,小怪兽会说疼,精彩精彩,5
94,1458736191,回去我的星辰大海,伤人了,276
95,2098477959,Twi-StoL,说得好！！！！！,3
96,1601148113,喜欢喝可乐の公良晗日,太对了,1
97,1466587605,清蒸大闸蟹4,这句话伤人了虽然是事实,9
98,1584013060,喜欢喝咖啡的宇文朝旭,伤人了,0
99,1496762103,哇喔 真棒,好，说得好,4
100,2307328345,2307328345,这话说的好,17
101,784723848725778,可哇咿,说的对,0
102,1287692075,WenDX1981,说得没错,3
103,1777634754,温开水℃,说的队,0
104,1568003903,云边有个小卖部🏡💰☁,就要安逸,0
105,1593623965,NoahHaon,一语中的,4
106,2139622575,刘冬_qq2207,说的太对了,16
107,1777634754,温开水℃,说的对！！！,4
108,1227695616,158****4204_m1611,说的很到位,11
109,2019410959,lpf345667,说的确实对，不过确实也有点过……,9
110,2111931572,猫耳开关,伤人了,205
111,2191024579,JAMDDD,确实,0
112,1816099938,张哒哒🍍😘😅,泪目了,3
113,1375847272,এ淘气꧔ꦿ,大家都有道理,0
114,1648324186,明哥8898,泪流满面,7
115,1668802275,超爱打网球的王叔西华,说得好啊,14
116,2488421786,谈文文1212,敢为天下先,0
117,425105263962250,谢之元锋,道不同,1
118,1538321296,zryjn⭐,确实,0
119,1093984124,头发太长懒得扎,说的好,15
120,1239169074,186****1133_m1013,有见地有立场的年轻朋友们越来越多，欣慰！,3
121,1569666568815232,阿Le1,历史的结果已出来了,10
122,2153429965,一飞燕一,这话真的说到点了,12
123,1291884760667364,SilverLiu1112,放弃幻想，准备战斗,1
124,1260018138,Next node,说的好,1
125,1539556868374336,看看有没有合适的心,说的没错,6
126,1576819420,喜欢吃蛋糕の澹台谷兰,完了，把心底话说出来了,15
127,1657438661,贰鹿丶,对！没错！,11
128,1247237429,孟姝170823,过于真实,5
129,1742505398,YimingQ,革命领袖确是不凡,10
130,1225012709,活力晓哥,言重了,3
131,1151460633,Red_Baron,胡适脾气真好,11
132,1761349993,用户68fc1169,都没错,2
133,1322556582,谈谈心说说爱,说得对,3
134,1220809737,Sanziooo,但确实,3
135,1428443858,安眠summer,太伤人了。。。,3
136,458358477826220,💋奶小宝,陈的性格是一把双刃剑,17
137,1331708367,如花似玉尼玛,友谊的小船破灭,177
138,2497032525,爱吃桔子的夏侯含莲,说的对,5
139,1409379932,muzipinky,太对了,4
140,1490144634,真假轮回天知道,这话太对了 说中要害了,9
141,1150121771,过冬的鼠鼠,扎心啊！,4
142,20668890,geminymoon,说得对。,3
143,1150685448,花生酱阿克巴,干得漂亮！,3
144,1448681504,喝阔阔阔阔阔乐,就是要这样的坚决性革命才能成功！！！,1
145,2736405802,海蓝时见鲸1107,说的好,2
146,370606927250191,自己的选择买单,这波我站仲甫,71
147,1111469575,136****9018_m1444,说得句句经典,82
148,1709440017,我知道我是谁1988,情分没有了,55
149,2181213340,我不会军体拳,伤心了。,9
150,1794343929,冯洪烈,这句话说的太狠了！,7
151,352743352962911,弈子明,这话伤人啊,27
152,1668604457,超爱喝饮料的龙猫,多好的演员，,12
153,2495315138,冰蓝色的回忆_qq1158,到位！,3
154,1365434766992052,嘟眠,说的太好了,5
155,1754837238,凉生650,一点也没错,4
156,2379657265,guanguanw_qq1131,对的对的,3
157,1259105349,珊珊公主520666,要分手了,7
158,1438744049,封杀番位癌,万事都给自己退路,3
159,1691670364,云山骨,这句话太狠,10
160,1192220880,发现一个萌萌哒,一针见血,22
161,1207409363,夏目友人帐猫咪大人,就此别过了,12
162,1451040079,爱吃披萨de叔孙高峻,说的太对了,8
163,1687407280,Aspirin0420,友谊的小船翻了,17
164,1650420260,夏天狗多喝热水,说得好！,1
165,1156352470692657,用户41bb24a403331,没有说错,2
166,1586123409,喜欢旅游de仲长柳思,过分了啊,2
167,1822479230,用户6ca0d37e,决裂,2
168,2269693356,模糊的記憶除了你卍,这句过了,7
169,2402463241,vice、CN,说的一点没错,94
170,1486690992,杨杨杨七鱼,虽然重但是对,94
171,1562775924,喜欢吃饼干的公孙永福,太对了，必须有人抗争,2
172,1612226484,用户60189fb4,这句话太狠了,80
173,1788413691,wang珂珂keke,一语中的！,89
174,2451880645,举步轻摇の阿卜杜拉曼别利察,后悔了，感觉自己说重了,36
175,1434306747,爱喝红茶的王官盼丹,最终还是到了这一步,34
176,1346767094290084,消愁的小丑joy,说的没错,4
177,1279484977,美好的开始😊2020年,伤人了,16
178,1343960262,有理性的弗洛朗-埃米利奥斯特劳斯,说得对,4
179,2360987379,老猫_qq1768,如果说在其他地方建立分校，这方案可以么？,1
180,1465912485,喜欢吃火腿的羊角琛丽,说得好,0
181,1674051988,炖炖跟嘟嘟,对对对对对对,4
182,1619520266,喜欢摔跤的呼延乐安,瓜瓜涵，我到这里了,2
183,1575768979146048,(´-㉨ก`)晚晚,该伤,4
184,2486821669,瞿大牙,道不同不相为谋,11
185,139830098,cmfmax,不同时期不同背景，应用不同的方法,6
186,1245847514,开玩笑100,两种思想的争辩,145
187,2485200841,宇_wx9032,从此分道扬镳了,300
188,1655508732,桃子桃子66666666,心疼,8
189,2172638449,口袋7788,说得对,2
190,1553912762997952,用户5854682401cc0,于和伟演技真的杠杠的,16
191,1668604457,超爱喝饮料的龙猫,一针见血,9
192,1714571396,匠坊设计,说得太对了,8
193,2537872632,风中之神☆^O^♂,前赴后继，绵绵不绝，决不能退缩妥协,20
194,1705105665,用户65a1d901,这是真的,12
195,2012494956,Sophia_qq2863,这话过了,19
