,uid,name,content,likeCount
0,2337019347,李波_qq9064,我们,0
1,1827375941,吴江渚上,好好看一遍开头,0
2,2512968195,viki_2019,来了,0
3,1618023738,宁死不屈！💯,加油加油,0
4,1827375941,吴江渚上,开头也是一股史诗感,2
5,1270220538,壹飛印業,闹钟太伟大了,13
6,1326093201,hee0811,大钊先生就是重磅核弹,279
7,1511533477,喜欢爬山de王叔天纵,这部剧编剧很厉害,97
8,2208874249,Mr.Fashion:1,哇 更新3集,4
9,1600817976,xxxi838,逻辑牛逼,7
10,1258668214,冯悰仡,最后一集应该是建党,7
11,1060672129,bingwei97,李大钊大才啊,22
12,1198033169,单身驼铃,我一个40多岁的老男人，看得一把鼻涕一把泪的，还好。我还醒着,14
13,1463589195,爱吃冰激凌de达奚玄静,牛逼plus,1
14,1148594669,摆渡2022,太感人了，今天中国之强大来之不易啊！,14
15,1430227518,叶修家养的乔沐沐,为啥一集这么短啊,6
16,2316003880,liam_lyn,辩证法太牛逼了,14
17,1526523320338624,用户56c5d684008c0,光着脚，好走路,4
18,1408153880,0LS1,来了来了来了,0
19,1215701900,短歌行201820,给编剧导演点赞👍,46
20,2339145876,蒋冬勤的爱奇艺帐号,量变和质变,103
21,1648306415,悲催跨界,人之信仰！,5
22,1654358557,六元101,这个比喻太好了,96
23,2475083604,墨龙_qq1669,伟大的闹钟,16
24,1244401355,136****1990_m2102,良心剧,2
25,1480918970,没人疼得小公主,看每一集都在感动着！真的应该普及给14亿中国人看看,118
26,1528068738,A🇨🇳🐳 花先森,不够看啊！,3
27,1421213279,一路拼搏向前冲,说得好,2
28,1816232994,用户6c418422,建党伟业，这剧实际是,7
29,1293495658,180****9691_m1672,这么好看的剧 才那么点人看,0
30,1562818500,喜欢吃冰激凌de公仲清佳,警世钟,5
31,2484360552,围脖是干嘛的,看哭了,2
32,1571783894,百里香飘万里,感动,1
33,1490438538,我有两个哥哥🍀,泪目来了,7
34,1448295824,长腿叔叔肖恩,刚哭完又要哭，这剧真的费泪,253
35,1799635907,用户6b4443c3,各式各样热血年轻人的表现，但干事需要的是结果,20
36,566830057923393,我的女友叫锐雯丶丶,中国加油,1
37,1525178238,Hhhhhhhzazaza,总共才43集，哎,20
38,1422703548,伯恩大老爷,这个时候要是暗杀陈李,5
39,1248353401,疯人族！,心刚这角色是虚构，代表着我们不能再等待的人们,26
40,453876109018855,深水静流2020,难得的好剧,1
41,1454337200,爱吃龙虾de高堂谷之,建党伟业,2
42,1447298675,乐乐猹,开始刀了 不要啊,15
43,2430049883,胡佳瀚,好可惜呀青年才俊😢,5
44,1606081284,挖萨其五二要,好剧，感人至深。,4
45,866582033082143,用户31426da40271f,真实历史上的相似人物叫，郭钦光，五四演讲中吐血身亡。致敬！,300
46,2183717370,aqsbi,心刚原型叫郭钦光,322
47,1305268875,hfcannie,心刚哪里是虚构，好好补补历史,169
48,1110884883,130****0430_m1610,一次看够二十多集,1
49,2480261723,嘟嘟汪汪汪233,郭心刚原型郭钦刚，历史上就是因五四而亡，享年24岁,198
50,1838825241,aw_e,伟人的思想真是厉害，都一百多年了还不过时,9
51,2325783318,帅醒的早晨,希望有第二部,5
52,69168570,亂世灬噠噠噠,热血沸腾,0
53,1480159953698043,阿炳先生们,严肃点儿，不要乱讲话。,2
54,1479409474,喜欢喝果汁的希达,原本前程一片大好,49
55,1571096167,喜欢吃甜食de叔孙鹏池,这种剧难道不应该多支持吗,9
56,1266061939,禹臣无限,这剧应编入小学至大学教材,15
57,1434697432,MOZI☁,心刚的原型是郭钦光,450
58,1094543652,136****7874_m1366,心刚怎么了呢 ？,4
59,2282270467,会打呼噜的曾大叔ᖭི༏ᖫྀ,会有越来越多人看的！,10
60,1085412477,138****9812_m1876,良心剧啊……,1
61,1525178238,Hhhhhhhzazaza,怎么不来个100集才为痛快,77
62,2197200208,找不到的追寻,看见他就心疼,20
63,2343506695,青鹰网络传媒,为啥不把一页变白发的发报纸 啊,3
64,1617882560,Percocet s,我发现导游好会找演员每个演员都跟历史上照片挺像,158
65,2307964621,華榮％羅,历史是不可逆转,4
66,1385557542,爱健身の北野凡巧,这妆画的真好，一看就是病人，不像有些演员生怕把脸弄脏,129
67,1105606197,一只球形妖精c,太费眼霜了阿,2
68,1417962178,China丶460百度,没人吗？,1
69,2278923388,小怪兽会说疼,心刚是被气死的,322
70,1697132261,好运常伴的男人,先辈们，向你们致敬,5
71,1094543652,136****7874_m1366,还真的活活气死了 ？,24
72,1503580916,sjtuqiu,心碎综合征,544
73,1598155073,zyc512413,有人,1
74,1246287345,158****6744_m2045,好剧,0
75,2465547930,葉YE_wx1209,这可不是情怀是存亡时刻,93
76,2348671155,雨伞让,认真看剧,1
77,1795019237,用户6afdd1e5,心刚忧国忧民呀,300
78,1650973754,超爱吃烤馒头の高堂沛凝,很感动,3
79,2486914350,Abner。_wx1359,诶，丢下女朋友了,438
80,1432569167,不期而遇5200,白兰真好看,16
81,1613529365,缘分的世界007,确实是好剧,4
82,1759310732,细雨、随风飘,应该到建国才结束，就好了,22
83,1627315286,超爱背单词的主父蓝尹,太好看了,6
84,2249048350,圣诞节的第二天,位卑未敢忘国忧,603
85,2292871963,jiji198401,心力交瘁啊，感动,61
86,1753722170,z 纳赤台,第二个屈原,12
87,2257523863,阳光人寿🍇😂,唯一一部不用倍速看的剧，赞👍,11
88,1826662375,用户6ce0a7e7,永别了😩,3
89,1264684533,138****2166_m1474,肺病,3
90,2200292013,李富文_qq1103,夜深了，睡觉了,7
91,889738751917925,用户3293672403f65,放心吧，今天的即墨发展的非常好,10
92,1673979588,酷帅超级萌的葡萄乔,少年白头,4
93,1403316919,爱跨栏の叱干怀山,小姐姐可在旁边呢,13
94,1697214440,用户65296fe8,心兰要伤心了,14
95,1577047069,慕风星影,位卑未敢忘忧国,13
96,1478914208,喜欢看电影de第二望雅,泪目,0
97,1408880752,还没吃饱的啾,哭了,1
98,1061990069,dh12365,那时我外婆还没出生,1
99,1210708030,lhhhhhhhho,心疼,2
100,2003169399,癰,如果能拍到解放战争胜利，那该多好啊,81
101,1382352421,宽厚de乔纳斯泰特,希望拍第II部，将1921到1949学界思想界的事说清楚,26
102,1311833476,左朴kd,家祭无忘告乃翁,10
103,1399007521,爱弹钢琴の段干玉宇,再排第二部,2
104,1269368310,capri玉米11,年轻轻的怎么可以,3
105,1382111558,爱玩羽毛球de公良凯泽,怎么就永别了，什么病啊,5
106,1290647593,137****3391_m1801,心血绝了啊，太可惜了啊,13
107,1448494551,风清扬啊扬,真实的才是最有力量的！,6
108,1780337863,强啊强不强,白兰要,3
109,1318578057,缤纷⭐,郭兴刚是真的把心给伤了,337
110,2475083604,墨龙_qq1669,连临终前的话都完全再现，编剧走心,379
111,1648306415,悲催跨界,每个人都不想交往不同类型的人不行吗！,7
112,1671341535,红心落雨,心碎,2
113,1648306415,悲催跨界,所以，一个做事没度的人怎么可能懂得理解别人呢！,7
114,1500737141999937,冬至❄️🌟,我猜白兰原型可能是王兰，北大第一批女大学生之一,355
115,1709440017,我知道我是谁1988,有时候生活中也是一言难尽,2
116,1461079911,爱武术的亓官信瑞,郭钦光烈士不朽！,360
117,1715878549,设计理念还是设计,哀莫大于心死,144
118,1250635525666489,小雨涓,一天老了几十岁，身体机能都变弱了，心病好可怕,336
119,1665910709,老马🐴嘻嘻,气得吐血而亡,9
120,1398386430,爱潜水の即墨文宣,这孩子心事太重，太悲观了！,74
121,1481425995956480,用户543595e400100,心刚要杀青了,7
122,1648680136,吴增浩，，，,真的要走了,9
123,1490453293,多米塔叠,此处三倍速,0
124,2432707258,小明同学_wx2964,郭钦光烈士永垂不朽,937
125,1622445146,神气活现の乔金海因斯,太悲观了,8
126,1719823278,用户66826bae,他们做到了,579
127,1330568994,爱吹口琴の女娲逸思,啊啊啊啊啊,0
128,1575266945,猪圆欲润,太心疼了,86
129,1610240271,喜欢举重de万俟芮雅,想哭,2
130,1676389578,超爱吃沙拉的公伯欣荣,这样的好剧要给学生看 青年人看,16
131,1826662375,用户6ce0a7e7,大义,4
132,2336172730,孤客知音,哭死了,0
133,1698245046,用户653929b6,二次北伐,4
134,2194266673,贾_qq1682,盛世如您所愿,432
135,2266876897,花花花花啊,革命 有流血 有牺牲,18
136,1613099027,醉清风嵩子,王师北定中原日，家祭无忘告乃翁,205
137,2404949883,白云1组,看哭了,2
138,1603848465,奔跑de小懒Sunny,位卑未敢忘忧国,100
139,1840012053,用户6dac5b15,心疼死了,4
140,1426201028,ch明瑞轩,怎么没人啊,0
141,1610240271,喜欢举重de万俟芮雅,泪目,0
142,1625295876, L$Y,赤子之心,10
143,2434909071,小妮爆揍锅里好,太好看了,3
144,1730401821,面包小哼,看哭了,0
145,1687025362,用户648df6d2,哀大莫过于死,21
146,1759534549,蓝-ll,家祭无忘告乃翁,44
147,1615589175,阿喀琉斯003,演技都太好了！,5
148,2153116955,Apple_qq5191,如果他能看到，多好，他连后人都没有,133
149,2093991087,肉肉姐哟,别丢下那么好的女朋友啊,422
150,2336172730,孤客知音,哭死了,0
151,2525896565,我叫顿顺不是顿顿,伟达的民族复兴，没有那些先行者，是不会有今天的国泰民安,55
152,1716377315,鶴蘭觽,又哭又哭,0
153,1791201312,用户6ac39020,祖国万岁,4
154,877721634749667,用户31e487e403ce3,心力衰竭,12
155,2321605401,2321605401,悲愤，泪目,7
156,1375991665,北岛由屿,哭了哭了,0
157,1001178307,Amnesia_ice_1922,泪目,2
158,526706070792130,小井小姑凉,通过这部剧真正认识了于和伟老师 演的出神入化,244
159,1212814569,152****5163_m1400,泪目,1
160,1735393184,用户676fffa0,生命的意义就是革命，当今仍需要革命,52
161,1627298680,超爱看电影の主父晓桐,血书！,7
162,2248841293,Ane丶苏醒。,我的眼泪不值钱,16
163,2191748257,哈撒K is,可惜了。再坚持两年青岛就回来了,145
164,2496413175,爱旅行の太史朗宁,郭新刚。是英雄,2
165,1712395020,悟一个空,此刻忍不住了，忍不住了，让泪水来的更猛烈些吧,9
166,1204752977,同类族群,1919年的人们啊,13
167,1162000083,无尘木,感谢先辈们的坚持,8
168,1822160169,用户6c9bf529,100年了，伟大复兴,16
169,1516149095269696,blueasswhitedragon,衣钵,1
170,2059273012,人间过客0615,心系家国的好儿郎！,11
171,1371980135,l六月是挽不住的风,心疼心刚,5
172,1002617538,幸运喜乐富足,先辈,2
173,1458446056,爱喝红酒de秃发昊英,向先辈们致敬，那才是第一学府，北大的文化与精神,10
174,1181712990,满城飞霜,位卑未敢忘忧国,138
175,2669948056,苦瓜二世,他怎么了？,1
176,2093991087,肉肉姐哟,坚强、活着,2
177,1296880907,139****1970_m2380,为了我们曾经灾难深重的国家，我们一定要努力💪,26
178,1716377315,鶴蘭觽,总让我哭,2
179,1388752670,爱吃螃蟹dMao,心刚是青岛人,19
180,1165878647,135****2881_m1854,刚烈的心刚，,3
181,1551189923,喜欢吃烤馒头de乐正鹤骞,每个人演的都很好。,7
182,1672628072,yjh0715,于和伟演技特好,9
183,2149364596,sunnyboyo,中华复兴已势不可挡,6
184,2117467501,、_qq2178,感动的时刻,0
185,2406841937,雪湖狼pc2,伟大复兴，几代人奋力向前,6
186,2307964621,華榮％羅,创新精神,1
187,1291884760667364,SilverLiu1112,致敬先辈,1
188,1799071841,🙏🏻见路不走🙏🏻,白兰真的是漂亮,15
189,1419651172,爱玩网球の拓跋驰翰,一夜白头啊,10
190,1057806499,小平平大魔王,先辈如此，安敢忘国耻,214
191,1449113064,爱探险de司马三春,于和伟演的真好,59
192,1562823113,喜欢跨栏の公上惜蕊,这才是我中华民族之青年，这才是我中华民族之风骨！,795
193,2295198333,白板儿i,感恩先辈,3
194,1561666487582976,用户58c53d0400100,我的头发和心刚一样的,10
195,2307964621,華榮％羅,五四快到了,5
196,1311833476,左朴kd,向90后的前辈致敬！,5
197,1331504398,拓跋雅婕,受不了 几分钟就要惹哭我一次,89
