,uid,name,content,likeCount
0,2068769748,愤世嫉俗の纯银子弹,陈老居然会唱《打猪草》！,2
1,1485866657,喜欢吃生蚝de公坚力学,桃花倍牛,0
2,504549274101791,用户1cae28841281f,真好看,2
3,1669022464,ପ帛贺 伊芙丽 晶晶ଓ,怎么就1集啊,1
4,2357183618,阳阳_wx4895,志同道合同行,2
5,1745757311,black pink妮,太好看了,0
6,1581777642,喜欢吃甜橙の即墨悦喜,给他爹的书做宣传哈哈，好样的,4
7,1194873060,爱兰如家,时间真快，百年弹指一挥间，时代变迁，中华崛起，都是无数先辈的努力成就了今天的大中国,16
8,894959183996236,卡卡468768,好西好看,2
9,1773478891,谢帕顿圣剑,大中国不合适，应该叫大中华,1
10,1416739346,悟人生看天地,94年男 四川成都 熬夜追剧中,1
11,1582541907695232,用户59f5040401680,兄弟 别熬夜了,0
12,2666329962,ggace00,希望多一些这种剧,6
13,2666329962,ggace00,很好看 也很有教育意义,3
14,1736026221,沧溟丷🌙,是的，有历史有剧情有人物刻画,4
15,1586892433,喜欢旅游de左丘静竹,好剧,0
16,2002285455,清扬_qq5520,精彩,0
17,761933615597599,用户2b4f97e80081f,版画片头太应景了,5
18,2284901899,小野爱喝可乐,今天怎么就一集,16
19,1380085205,软绵绵的日常,泪目,4
20,1408036514053338,浪子随风伴奏,热血年代,18
21,2350755736,2350755736,连肝五集，状态很好,179
22,1681824447,用户643e9abf,什么时代都需要有文化,26
23,445348719896624,南辰Christian,勿忘国耻 爱我中华,11
24,1411164663,不要让我忘记你3233,算了算了,2
25,1151762588,134****3500_m1907,就一集？,4
26,1592429316,喜欢喝牛奶de王叔文景,一集看着也不过瘾啊,2
27,2407679970,起_wx1448,先辈伟大，无私奉献精神值得学习,11
28,1788816909,皖北吴小腾,来了,1
29,2245514128,灬拾贰,明天怎么也更一集,2
30,1824919697,知丝锁,打卡,1
31,1153657393,是怕丢啊,你又知道了,7
32,1221089927,食梦的大哥哥,跪求加更,5
33,1665346141,青涩的笑醒,一天一集过年都看不完,4
34,1465450153,沐浴阳光 ，,好看,2
35,1361118599,金汤城主,怎么只有1集,4
36,1581477952,姗姗来迟emmm,这部剧让历史书上的人物鲜活了,14
37,1576001947569984,wangqing771228,应该让现在的学生都看看,17
38,2317512638,ssssssssqqqqqqq,怎么台词像在朗诵啊,17
39,2205662509,陈磊_qq5159,点赞,5
40,1313312502,爱阅读的东门曼妮,汪大燮先生,6
