,uid,name,content,likeCount
0,2389625772,Miao真心实意,如果要完美的体现当时，是从生活中和体态上体现，当时人们的样貌。,0
1,2389625772,Miao真心实意,吃不饱，穿不暖在那个年代，绝对是常见的，所以容貌，不应该是不胖不瘦的，是臞羸的。是必然的。,1
2,2389625772,Miao真心实意,不能百分百还原，但是也要做到极致和更好。,1
3,2389625772,Miao真心实意,这点你们想不到，也是应该的，毕竟那种想法你们生活在现代体会不到，也想象不到也是无可奈何的,0
4,2389625772,Miao真心实意,好好借鉴一下老电影，他们的容貌和当时人们的状态。也许吧。,0
5,2389625772,Miao真心实意,因为人最在意的就是样貌和背景。,0
6,2389625772,Miao真心实意,要想彻底改变人的思想，尤其是大众的思想，是困难的也是要坚定的并且要担起大责任和小责任的。,0
7,2428112828,Alma_wx1091,这么清晰地了解一百年前发生的事情，真是太震撼了！,6
8,1658045370,喝不醉.淡然.,第三,0
9,2214564645,唉地孟得,每集都不能落下，追,0
10,1570858893,喜欢潜水の叔仲平松,来了来了,1
11,1261773724,138****7692_m3397,感动,0
12,458358477826220,💋奶小宝,一口气追了20集，过瘾,4
13,1110125275,151****2235_m1292,标题泪目,9
14,2420080399,鳌雾🎊,第一,7
15,2664977815,嚣囟,来啦,0
16,1658464513,超爱嗑瓜子の呼延婉柔,当代年轻人学习榜样,4
17,1171364234,易小川1980,躲被窝带耳机看完新更新的两集再睡！,7
18,1436070031,爱的超人P民P民,更新了,1
19,2379609729,一米阳光一米阳光0101,我来了我来了，鼓掌,1
20,1192520756,188****8807_m1133,来啦,0
21,1477370225,喜欢吃梨の东宫梓舒,有人吗？,0
22,1511316896,嘟嘟幻视,英豪,0
23,2211304325,2675234980,第一,2
24,2519625769,爱玩保龄球の独孤才俊,二刷来了,2
25,1345755217,丷浮生灬,拍的真是振憾,7
26,2545380217,G-tj,教员来了,4
27,1167701418453758,疳积散,更新了,0
28,1300949833,爱摔跤的长孙天纵,他来了,5
29,1693871343,Amos7777777,第一,0
30,450982341249267,用户19a2a824008f3,第二！,1
31,1222412988,180****6730_m1730,来了来了！！,1
32,1799635907,用户6b4443c3,先觉醒的一部分人,99
33,1588356125,chhhhhha,斩木为兵 揭竿为旗,110
34,2111931572,猫耳开关,来了来了,0
35,1436862432,超大号螺旋丸,为中华崛起而读书,9
36,1030823684,刘鑫36,标题。。出来了,0
37,1255878378,alpha…,富贵让我们相遇,5
38,1185928639,slkjgz,来了,1
39,1461389899,爱吃菠萝の胡母康平,教员来了！！！！,5
40,2326192524,迷茫的羔狼,来了来了,4
41,1419843781802868,这破片真没劲,看这剧才是最大的财富,12
42,1330719633,戳爷s_,来啊来啦,1
43,2121438473,丢了个西瓜皮子,没人耶,0
44,1211951303,186****5775_m1244,每集提示人物，特别好,110
45,1232524565,185****1634_m1176,哈哈,0
46,1020441308,454221376,第一,0
47,541402708,qq_uxv49,来早了,1
48,1232524565,185****1634_m1176,第一啊,0
49,2519625769,爱玩保龄球の独孤才俊,二刷二刷,2
50,2284525868,不知名上单,为中华之崛起而读书,3
51,1658464513,超爱嗑瓜子の呼延婉柔,勿忘国耻振兴中华,10
52,1207409363,夏目友人帐猫咪大人,天天准时等着到十点,2
53,1507554049,奔腾的小黑牛,叔叔们晚上好,3
54,1299217217,爱旅游羊肉烩面,本来想明天看的,2
55,2075146158,最初的梦想Pc,吾来也,2
56,1516323443,小李り,从巴黎和会开始越来越好看了,28
57,1171364234,易小川1980,好怕他误伤到自己脚😂,7
58,1585074628,明月出天山.,2021.4.4 沉痛悼念所有为国捐躯的英烈，你们还活着，因为我们记得,9
59,1242998719,dkmdmdjdk,晚上好,0
60,1671341535,红心落雨,来了,0
61,1351152275,lsdfspx,第一,0
62,1610562658,Aeliauklxz,来喽来喽,0
63,1169054564,132****9610_m1627,来了！,0
64,2148683077,物是人非_qq1593,富贵让我们相遇,0
65,1292500412,天应儿,第十四亿,0
66,1636317046,漆礼根,终于等到你,1
67,1740025252,用户67b6ada4,真希望现在希希希望现在孩子们能够多了解历史，,7
68,1658464513,超爱嗑瓜子の呼延婉柔,铭记历史,3
69,1060080500,137****7769_m1969,先驱,0
70,1570903372,地理嘻嘻嘻嘻嘻嘻,两天刷到30集,14
71,2086157791,十万哥为什么,为中华民族伟大复兴而读书,13
72,1192275069,YQZHY888,难得的好剧,3
73,2333357280,周志洪_qq1720,吾来也，不让狂奴撼泰山,111
74,2352701111,TTThansband,大家伙开始看了吗,3
75,1326806804202871,独悟独悟,一家的革命者,108
76,1453648868,爱喝白酒的万俟英秀,头发细节,14
77,1430520222,我心以翔,吾辈当自强，致敬伟大的北大英才,35
78,1526667270,小忽忽TT,准时来了,0
79,1658464513,超爱嗑瓜子の呼延婉柔,好剧💯,2
80,2148683077,物是人非_qq1593,我刚刚写了一篇文章,11
81,2352701111,TTThansband,我竟然是第一个,0
82,478190455751472,孔宝亮.,没人,0
83,1165056154796700,用户4239cc640029c,良心剧,4
84,2347828765,A0紫烨,来了,0
85,2344097757,涅槃流岚,认真看剧,1
86,2519625769,爱玩保龄球の独孤才俊,上一集就结束在这。仲甫说的正激动,14
