,uid,name,content,likeCount
0,1445591205,爱踢足球的公坚寄松,这部片应该放进学校里面去,5
1,1596770171,灼眼的贵贵,曾经沧海难为水，一生所爱于和伟,2
2,1736888846,胡同时光,导演张永新这名字好，永远创新!,4
3,1063035284,137****3309_m1898,有人吗,4
4,1115423042977010,小宋公猪,有有有,1
5,1177815373,开心1688,强烈希望续集,21
6,1352191624,Lambo127,片头也很不错，从无光到一束束光,17
7,1764328363,用户692983ab,第二,0
8,1698311903,这样的人最可爱,认认真真的看到现在马上结束了，恳请导演多拍些这种历史革命剧，好让我们悉识历史,23
9,2684639731,hdjfkfkfhdjkdlfhdyeueii,晚上好！,4
10,1102045081,186****6586_m1821,掌舵人初出茅庐,3
11,1429517718,爱喝粥の宗政莘莘,第二,0
12,1819457965,Nicolaaa.,只剩三集了,1
13,1471278302,谢家明月照积雪,不要小看图书管理员啊,13
14,1088805721342638,齐德龙咚咚咚咚锵,来啦！,0
15,2427264433,等闲平地风波起,东方红，太阳升。,7
16,1293567167,不吃西红柿ns,爱才之心溢于言表,18
17,924455106785106,西城小厨豆腐啵,乘龙快婿,1
18,1392581745485471,用户4f28bb442a69f,来了来了,1
19,1294285349,国内外重点院校,东方红，太阳升,16
20,1263624282,183****8973_m1614,强烈请求   出 续集,3
21,2253639912,老胡_qq1552,大钊先生像太阳一样,63
22,1280036017,一品重华,我也是,1
23,1313306214,divine大神,我一生最最尊敬崇拜的人,19
24,2251646127,海阔天空_wx3223,先辈们那个时候，太难了。,9
25,721134945304698,wylhlxj,一个点亮了灯，一个引燃了火.........致敬！！！！,76
26,1450274832,Roydenx,伟大,2
27,2652553571,超爱上网de北野宜民,续集就是我们啊,65
28,1371089383,爱吃烧烤de东郭珺娅,今天还更新不？,0
29,1011959092748558,飞白蝈蝈,看完这个去看我们的法兰西岁月,1
30,1621084568,muhan涵,百年历史逐一拍摄,0
31,74945090,zz110381_2718,好剧推荐,3
32,1211615163,186****2828_m1140,不忘初心方得始终,4
33,2350256126,默默_qqxkvp1,这有点费水啊,17
34,1311833476,左朴kd,汤婆子,2
35,2275788726,能逗丿,马上结束了，可以去看建党伟业,5
36,1484975591,喜欢吃冰激凌的公门语柳,续集就是我们今天的幸福生活,13
37,1164282968,ZK121612,汤婆子,2
38,1294285349,国内外重点院校,东方红，太阳升,10
39,1372345860,嘎嘎甜吖么甜吖么甜,超级好看，大家都在默默看剧,6
40,1488104591,喜欢吃蛋糕の司徒鹏飞,呜呜呜是师母做的汤婆子！,29
41,2002899438,浮生不惟梦,汤婆子，我家也有,4
42,1659257808,dr^Chenyx,道具组太用心了,7
43,1483818463,旅行者唱片,默默看剧,0
44,2472975302,超级爱奇艺9527,如果这部剧，能说着自己的方言该多好,5
45,1471278302,谢家明月照积雪,这续集，你们想怎么演？,4
46,1556120496,香甜肥美的猪jio,感慨万千。感动,1
47,1687087876,唯你最可爱,好剧,1
48,1713652765,江喃yyswdm,强烈建议拍续集,3
49,1203562717,zcymqq,太感动了,0
50,1236192699,180****5901_m1705,这戏拍的很好，2021年第一剧,5
51,1673478294,小不点131452088,这 部剧全中国人都要看一看，特别是国外的华人华侨，没有他们舍命 哪有我们今天是幸福,4
52,2151310876,木寸長米青神,我们小时候耶是用这种壶暖手,1
53,1481012651,喜欢喝茶的公玉阳飙,歌迷革命的导视李大钊,5
54,2342031412,谭皓_qq2753,伟人导师,1
55,1423063332,一石好多鸟,要说续集，这几十集可不够写的,13
56,1227568231,187****1644_m1472,要有自己的武装部队,7
57,2313271751,hfh_wx1647,汤婆子,6
58,1590348974,喜欢瑜伽的姐,英雄所见略同！,2
59,1301770897,向日葵的笑最美,续集就是我们今天的生活,24
60,1737539790,用户6790c0ce,良心巨制,6
61,1478342024,我是林杨大队长,偶像来啦！,4
62,2394032709,2394032709,李大钊真的是好导师,13
63,1665004151,超爱吃荔枝de主父问儿,续集就是你今天的幸福生活,26
64,819961605916469,用户2e9c030400735,就凭细节处理，这个剧也该有续集,0
65,1589073724,喜欢吃甜橙的子书靖柔,推荐看了这部剧后看，寻路,4
66,1392581745485471,用户4f28bb442a69f,领袖,3
67,2001840730,FD镇静剂,中国历史几千年来 理想与实际结合得最好的领袖,19
68,1088805721342638,齐德龙咚咚咚咚锵,民国暖手宝,4
69,301362323661481,扣子扣子123,信仰真的太重要了，要经历多少苦难才能成就一个伟大的人,49
70,2407593261,aka熊_四十二分之一,导演好样的,4
71,2741248805,用户a3642325,眼神表达得好好,16
72,1491893200363776,鹿鹿子。白鹿,拍续集！！！！！！,2
73,2186097570,悦Y627,牛呀,0
74,2432381730,妞、咱在一起吧！,就怎么捂手不烫嘛,9
75,1523090291,雅馨suki,舍不得看完，强烈呼吁拍续集,7
76,1562508876,不干活句,回顾过去，立足当今，展望未来，当思进取，继往开来！,8
77,1553767572973312,我是涛声依旧312,有坚强的组织，有坚强的核心是事业胜利的的根本保证。核心为帅！,3
78,1481012651,喜欢喝茶的公玉阳飙,革命的导师李大钊,8
79,1472444411,冲浪的靓仔,真香,2
80,1383716949,爱吃泡面の仲孙晨潍_1544,希望沿着历史的线索继续拍下去。,19
81,1438879360,爱吃龙虾的东里流婉,哈哈哈哈,0
82,1284091290,151****6631_m2380,不夸张的话说目前看得这么多历史剧，这部真的大赞！,109
83,1623473130,asdfghjk1365,然后就属你最能打~,3189
84,1733243858,耳麦天使07,厉害👍🏻,2
85,1711375604,布布树123,现在的幸福生活就是这部剧的续集,115
86,1347465429137074,离星渐Taney,引路人很重要,10
87,1686950747,用户648cd35b,然后老兄就提出武装斗争 工农武装割据哈哈哈哈,1226
88,1010008499,1010008499,排续集可就是要撕破脸了,19
89,1639878338,番茄纯鹅,导师来了,6
90,1207590172,155****6688_m1580,这个剧就像我看过的苦菜花，哭的稀里哗啦的,6
91,1169185685,150****8137_m1469,我可能偏向于温和,194
92,1115093255,152****7830_m1349,人物个性鲜明，具有感染力！是近年看过不多的好剧！！！,6
93,2104231074,吕凯_qq1637,其实是一步一步试过来的，能试的方法都试过了，不行啊，才暴力革命的,31
94,1349435327,正人君子de瑞芭斯维吉科娃,哈哈 然后就属你最能打 哈哈,1151
95,1616101880,看看过山车,这是历史  续集不是想拍就拍的,20
96,2244668985,jh19801_wx1795,还是让守常先生来给上上课吧,9
97,1196474209672046,小傻冒^O^,来了,0
98,2343506695,青鹰网络传媒,现在是军阀混战,0
99,1702938210,用户6580c662,这个热水壶我也有,2
100,1605968236382528,Lilylily13579zzz,强烈要求续集,8
101,2344548896,曲终人散_qq3710,农村包围城市,17
102,1652547610,小壮壮驾到,每个人都在成长，没有天生的伟人,20
103,2414158423,清辉流火_ko,这里有错误。支持联省自治的是胡适。李陈都是明确反对,9
104,1813553443,你别揪我耳朵啊,《我偏向温和》,184
105,1643551358,西宫家的奥利奥,别说了，你最能打的一个,330
106,2477299728,肆•爺,这是一部值得我们这代人深思的著作,3
107,1302802773,爱潜水的子书阳煦,重新定义温和,17
108,1236192699,180****5901_m1705,拍续集 一直拍到建国,16
109,1586892078,喜欢嗑瓜子的钟离司辰,导师是多么重要啊,9
110,1544458045,喜欢游泳の鲜于梦之,续集，原班人马！,12
111,2343506695,青鹰网络传媒,联省自治,2
112,1353204074,小黄_好了,最后就你最激烈,381
113,1624586572,賴jx景熙,结果打遍天下无敌手,586
114,1374890910,乖乖的狗蛋,必经的幼稚阶段,431
115,1538921576,月儿小狐,强烈要求拍续集,119
116,1253424756,小杨不玩铠爹,续集就是我们现在幸福的生活,375
117,1368400604,快言快语の亚历克斯普洛阿耶,汉地18省,0
118,2153429965,一飞燕一,续集就是更虐,183
119,1263395616,唧唧唧哇哇哇,希望能按照历史进程继续拍下去,130
120,2498265926,万几宸星翰,同意,2
